start	end	text
2510504	2515135	Committee Chair Ruscio or Committee Chair Harwick, what would you like to share for OSS?
2516110	2516711	I'll take it, sir.
2517653	2517973	Thank you.
2518033	2520798	So we met remotely on Wednesday, May 14th.
2521640	2524204	We gaveled in at 5.34 p.m.
2524405	2526829	and wrapped up at 9.44 p.m.
2527490	2529714	We had extensive public comments.
2529874	2532219	The most I've ever seen at any OSS meeting.
2533240	2533781	That was great.
2533881	2535104	Come visit us anytime.
2536166	2540413	It's always nice to know that people are listening to our podcast and by that I mean our YouTube channel.
2540393	2563279	But two major items that went on the consent calendar for tonight's meeting is the 2025-2028 Title VI program update, just ensuring that we stay in compliance with federal law, civil rights protections, and meet the needs of our customers, as well as the Allied Universal Security Services Contract Extension.
2563259	2568224	FNP authorized a budget transfer, which had no financial impact.
2568344	2570247	It was just moving from one department to another.
2570287	2578996	And then we filed that up with a vote to extend that contract for another year with the cost of up to just a little over 22 million.
2579777	2583240	And we did have four discussion items, two of which were heard.
2584282	2588406	So we had the Vision Zero update from GM CEO Johnson.
2588842	2593869	As you might recall, we passed a Vision Zero resolution last year, and so that planning process is underway.
2594690	2596932	We had a customer communications update.
2597653	2608167	Stuart Summers led an excellent presentation, discussing how we handle communications, some tech updates, customer service aspects.
2608147	2611492	real-time information and service alerts and things like that.
2612253	2619585	Unfortunately, we did hit our four-hour mark before we could finish our agenda items, and even though the nuggets weren't playing, folks wanted to go, and we were tired.
2620186	2631403	So we moved the on-demand item to the nice meeting, which we just heard, and then we'll be hearing Paratransit Legacy Customer Protection's proposal next month.
2631383	2643481	So for those of you who have been tracking what we're doing with paratransit, I strongly encourage you to come visit us at OSSX month and weigh in so we get your feedback before we come back with something more final.
2644383	2653016	Our next meeting is Wednesday, June 11th at 5.30, same time, same place, online or on the phone.
2653797	2654097	Thank you.
2654558	2655940	Thank you, committee chair.
2656375	2659039	Uh, now to for performance committee chair Guzman.
2659460	2660060	I get it.
2660721	2661623	Thank you, Mr. Chair.
2662043	2663886	Performance committee met Monday, May 12th, 2025.
2663926	2679649	Uh, I, I, the, the committee chair presented a draft proposal that I had worked on previously with vice chair Gucci and Ritter for the 2025 general manager, CEO performance assessment form and process that needed to be updated to seek input from the committee and other directors.
2679629	2692120	to find a way forward for the rest of the year based on the current 2025 general manager CO short term goals and the respective adjustments made to the scoring points based on our votes in January.
2692640	2694002	I've received some feedback.
2694183	2697449	I continue to invite directors to submit the feedback.
2697489	2699432	If you have not reviewed that meeting, please do so.
2700013	2702718	And any questions you may have, please email me or call me.
2703019	2705283	I am happy to engage in that conversation.
2706064	2714479	Of course, we are doing that with participation and a lot of communication with the general manager CEO, Deborah Johnson.
2714847	2720033	The next meeting of the performance committee is scheduled for June 2, 2025 at 8.30 a.m.
2720613	2725799	I really want to encourage all of you, directors, to please participate in that meeting.
2726540	2727041	Two reasons.
2727201	2728362	One, we are going to receive.
2729483	2735990	I hope I don't get this wrong because I don't have my work plan in front of me, but the employee survey results in the beginning of that meeting.
2736111	2738273	And then we will adjourn into executive session.
2738607	2743333	for the second quarterly one-on-one opportunity with our general manager CEO.
2743874	2757713	And that is part of our contracted agreement with the general manager CEO to receive information from her and provide feedback regarding personnel matters.
2759127	2766416	Additionally, the performance committee is set to have a second meeting in June because of that quarterly check-in.
2767357	2772243	The second meeting is planned, I believe, for June 23rd at 8.30 a.m.
2772263	2781754	And that is in order to do a deep dive into our community and customer surveys, which align with our community value and customer excellent strategic initiatives.
2782315	2786400	And I would again encourage all directors to participate in that meeting as well.
2786752	2793682	which is the overview of the current status of the agency's surveys and where we're at with regard to public.
2794102	2801893	It will inform the process for setting goals and priorities for the 2026 year, which we are also doing all at the same time.
2802094	2815813	So prioritizing what is important for our customers, the survey reports are a great opportunity to engage with direct feedback from our constituents in all areas of the agency.
2816266	2822801	I do believe a little birdie has told me on one of the buses that these should be really positive discussions.
2823462	2833023	So if you need more than that invitation, please signal tonight and I will call you and email you and hound you to be on these meetings because I think they're really important for all of us.
2833063	2833785	Thank you.
2834288	2835591	Thank you committee chair goes on.
2836432	2837234	All right, moving on.
2838055	2845430	We're going to do the approval of board meeting minutes and committee reports, the board and committee meeting minutes were included in the board packet.
2846151	2850299	Are there any corrections from the board for the minutes to be approved this evening.
2853506	2854187	Any corrections.
2855568	2855909	All right.
2856249	2862739	Unless there's objection to considering the minutes all the same time, my please have a motion to approve the minutes for the following meetings.
2863380	2874977	The April 9th, 2025 operation safety and security committee, the April 29th, 2025 board meeting, the May 12th, 2025 performance committee, May 13th, 2025 finance and planning committee.
2875801	2881987	May 14th, 2025, Operation Safety and Security Committee, and then May 22nd, 2025, Executive Committee.
2882388	2883248	So moved, Guzman.
2883589	2884670	I have the Guzman.
2885591	2886812	Second.
2886832	2887112	Second.
2887293	2888314	I'm going to give it to Guzman.
2891697	2895521	So I heard Director Guzman as the mover and Director Guzman as the second.
2895661	2897102	Is there any discussion on this motion?
2901767	2902388	Okay.
2902408	2904029	Seeing none, I'll now call the vote.
2904189	2905791	Are there any no votes on this action?
2908319	2912850	It'll pass 14, zero, and one absent.
2914574	2914955	Excellent.
2915657	2915978	All right.
2916018	2920549	Moving on, it will be our chairs report.
2920950	2926463	Due to the late hour, I will be quoting my principal and saying, I am giving you all the gift of time.
2926713	2935524	And all I can say with my chair's report is we will have a border treat on June 7th talking about our 2026 priorities for the agency.
2936125	2938628	Again, directors, hopefully you all can make that.
2938668	2943274	It'll be a very healthy discussion, a very hearty discussion, I guarantee.
2943755	2946238	But please make sure you have that marked down on your calendars.
2946738	2947219	Thank you.
2950827	2953209	Did you want to remind everybody about the survey we sent you?
2953229	2954210	Of course, thank you.
2954631	2961557	And of course, directors, you'll see in my weekly update, there was a survey that might have been passed too.
2962037	2964560	And if you've not filled out that survey, please do so.
2965000	2968223	Thank you for the directors who did fill it in.
2968443	2970265	So that's okay.
2970365	2976451	If we could get that in by Monday morning, that'd be excellent.
2976491	2978272	I'll include that in my weekly update though.
2978473	2978893	Thank you.
2980139	2984505	I'll give it now over to you, GMCO Johnson.
2984525	2998385	Thank you very much, Mr. Chair, and by to recognize the lateness of the hour, I just have a couple of elements that I'll share with you that are in alignment with our activities and strategic endeavors since our last board meeting on Tuesday, April 29th.
3000308	3009100	One notable aspect is the legislative conference held by the American Public Transportation Association from May 18th through the 20th.
3009451	3022069	In Washington DC, just for everyone's edification, this annual conference is an opportunity for public transportation industry professionals across the nation to visit Washington DC and connect with policymakers, implementers, and their staffs.
3022750	3033045	The conference helps educate and inform active members on important federal legislation and policy initiatives and affords an unparalleled opportunity to shape the industry's positions in federal advocacy agenda.
3033515	3044527	I along with directors of Keith Chandler and Guchin Ritter and government relations officer Michael Davies attended conference sessions and meetings with members of Colorado's congressional delegation and their staffs.
3044547	3060045	While chairing an APTA committee meeting on Sunday, May 8th, I personally engaged with Tariq Bakari who is the acting administrator of the Federal Transit Administration who shared his views and inputs as it relates to public transit as well as the importance of federal and local partnerships.
3060498	3067786	Just yesterday, Tuesday, May 27th, I along with members of my team met with individuals representing the Alliance to Transform Transportation.
3068547	3073933	As you may be aware, it's a coalition of groups on transit related matters in Colorado.
3074573	3089830	Alliance representatives in attendance included Executive Director of the Colorado Public Interest Research Group, Danny Katz, or Co-Purg, as we refer to it, Jill Lockenture, Executive Director of the Denver Streets Partnership, Portia Prescott, President of the Rocky Mountain NAACP,
3090215	3097980	uh, branch, uh, the state conference representing Colorado, Montana, and Wyoming, Dennis Hawkins representing the amalgamated transit union 10 01.
3098382	3106715	Matt Fromer representing Transportation and Land Use, well, he is the Transportation and Land Use Policy Manager from the Southwest Energy Efficiency Project.
3107175	3111582	The meeting really was focused on Alliance's vision for transit in the Denver region.
3112403	3120255	As you know, they have been very vocal in which they're seeking to increase funding for transit in the Denver region by $420 million per year.
3120539	3126311	to bolster the frequency and availability of transit services in the metro area.
3128335	3141383	From RTD's perspective, questions were posed relative to how that $420 million figure was derived and they explained how that came about with the work they had done with the third party entity.
3141599	3146569	of very bare bones relative to providing some information.
3147110	3162983	And then we talked about the agency's focus, which all of you are very well aware that we are laser focused on asset renewal, state of good repair, and rightsizing transit service and alignment with RTD's branded comprehensive operational analysis being the system optimization plan.
3163823	3177801	Related to personal security, as was recently reported, RTD experienced a 60% reduction in security-related calls for service, as well as a three-year decrease in reports of criminal activities between 2022 and 2025 at Denver Union Station.
3177841	3192379	The decrease is representative of concerted efforts to restore and maintain a welcoming transit environment within the critical multi-modal transit hub, and following a collaborative and multifaceted strategy aimed at enhancing
3192730	3197755	personal safety and security through crime prevention through environmental design methodologies.
3198115	3204121	This effort would have not have been a success without the commitment of numerous agency employees as well as support from the city and county of Denver.
3205482	3214311	It's police department, the downtown Denver partnerships, Sage hospitality, the lower Denver neighborhood association, as well as several local businesses and downtown Denver residents.
3214851	3221117	Fair enforcement has also increased in recent months, which is the result of RTDs growing ranks of sworn police officers
3221435	3236093	haven't been trained to perform this function alongside the contracted team that we have in security with Allied Universal personnel who had primarily been responsible for this responsibility.
3236614	3244624	I look forward to sharing additional details regarding the impacts of these efforts during the June Performance Committee, which you heard Committee Chair Guzman reference.
3244908	3251398	When I along with staff will present data related to annual customer community and employee surveys that have recently concluded.
3251439	3272232	On a related note, the agency has proactively increased its transit police officer presence at Denver Union Station and across the agency's downtown Denver sector to support the personal safety and security of customers and visitors attending major events and activity, notably as we know, while we're no longer in the hockey playoffs and NBA, but
3272701	3276885	people had a welcoming experience in and around our facilities.
3277326	3288898	And RTD PD had increased patrols at Denver Union Station and bus stops and rail stations, the high of, before the high profile events, which included the playoff games I just referenced.
3288918	3293543	And this coincides with increasing Denver police patrols throughout the downtown area.
3294184	3301071	And RTD and DPD are working closely to collaborate to support enhanced safety for the traveling public.
3303194	3315850	And moreover, data and metrics related to personal safety and security are now conveniently located on the recently created security related metrics page, and we've actually showcased that on other social media channels as well.
3317092	3329708	As it relates to our customer excellence in relation to the strategic priorities of customer excellence and employee ownership, I shared yesterday with the board the last of the 31 light rail speed restrictions put into place last year on the DH
3330228	3332932	and E and R lines was lifted as of yesterday morning.
3334013	3338539	I want to give a special shout out to our maintenance of way teams that have done yeoman's work.
3338559	3348253	The final speed restriction, which was approximately 400 feet in southbound segment north of south more station and was removed after crews completed those repairs.
3350977	3360049	Keeping in mind those rigorous restrictions were put into place due to the fact that we enhanced our inspections of track
3360451	3365917	back in May 2024 as an enhanced focus on maintaining the agency's assets and a state of good repair.
3366417	3370181	At the time, you know, crews found several minor issues and track imperfections.
3370621	3382994	So as I said before, I thank and congratulate all the agency employees who worked tirelessly over the course of these 11 months.
3383294	3386998	And like I said, a special shout out to MOW.
3388683	3403228	I would be remiss if I didn't state that while this is a cost to celebrate, I shared previously as we look at our infrastructure and it continues to age, this will be par for the course, but since we're ahead of where we were before, we will see less of an impact, I'm certain.
3404049	3411822	And last, but certainly not least, I'm pleased to welcome RTD's new Chief Financial Officer, Kelly Mackey, who's in the audience, she's given a wave.
3412139	3414021	who began her tenure on May 12th.
3414342	3419348	And this is her in her first in-person board meeting while we introduced her at the Finance and Planning Committee.
3420209	3422672	You guys are real people, not figments of our imagination.
3422692	3424415	So I wanted to ensure I did that here.
3424475	3429942	So with that, I will yield the floor so we can move on to the rest of the matters that we have before.
3429962	3431564	So thank you very much, Mr. Chair.
3434307	3436089	Thank you, GMCO Johnson.
3436970	3439834	Any comments or questions for GMCO Johnson?
3443003	3443404	Yeah.
3448410	3449071	Very exciting.
3449411	3450953	And Kelly, welcome to the team.
3451474	3451834	Thank you.
3454658	3455038	All right.
3455559	3456280	Moving on.
3456300	3459364	Uh, they, we're going to move on to unanimous consent.
3459764	3470057	Uh, there are three items on the unanimous consent agenda listed under section 16 actions A through C. Those items are the security operations budget transfer.
3470273	3477692	The 2025-2028 Title VI Program Update, and the Allied Universal Security Services Contract Extension for one year.
3477712	3485532	I do understand that Director Banker would like to offer some amendments to Item B, the 2025-2028 Title VI Program Update.
3485950	3491237	And such I will remove, I will move that to a recommended actions, actions, excuse me.
3491817	3500728	If anyone else has a change to discussion on or questions about any of the remaining unanimous consent items, please feel free to advise the chair at this time.
3501109	3506656	And I'll of course be happy to pull the item from unanimous consent for consideration under recommended action.
3507757	3508498	Director Nicholson.
3510721	3513484	The Allied Universal Security Contract, please pull that.
3514085	3514185	Okay.
3514537	3520383	So item B will be removed and placed into recommended action.
3521444	3527771	Excuse me, former item C, as I look in real time here, the Allied Universal Security.
3527971	3531635	Are we okay with security operations, budget transfer?
3536080	3540505	I would move to approve the remainder of the unanimous consent agenda.
3540885	3541506	Second.
3541672	3544635	Okay, I have Whitmore and then Roush as the second.
3545636	3566078	Okay, so this is item A for the Board of Directors to approve a budget transfer of $3,845,437.10 between Operated Expenses Lines for Transit Security Services.
3568640	3571223	Is there any no votes on that?
3573548	3573848	Okay.
3575470	3577954	Seeing none, that item will pass 14-0-1.
3577974	3584602	All right, now we're moving on to our recommended action items.
3585363	3591471	And we're gonna have first on our list, the Allied Universal Security Surface Contract Extension for one year.
3591511	3594295	Is there a motion?
3595296	3595697	So moved.
3596117	3596738	Okay, Nicholson.
3598135	3598576	In a second.
3599637	3600077	And Russia.
3601800	3602040	All right.
3602220	3602941	Any discussion.
3604122	3604723	Director Nicholson.
3605384	3605564	Yeah.
3605584	3608968	So I just have a quick question about this one that came from a constituent.
3610570	3617759	How many people do we have working from working on our security side from Allied?
3618260	3622906	And how many do we have from, you know, RTDPD right now?
3623727	3624007	Thank you.
3625248	3625389	Ms.
3625409	3625729	Johnson.
3626333	3629765	Yes, I will yield the floor to Chief Martin Gano who can address that question.
3629805	3630146	Thank you.
3632736	3633458	Chief Martin Gano.
3634535	3637481	I am trying to figure out whether we're going to be hot chat for me.
3638322	3638683	Yes.
3638703	3638923	Yeah.
3638943	3644214	So technically, in regards to how many ally personnel, it's an hourly contract.
3644554	3647520	So you'd have to take the amount of the hours and obviously divided by 40.
3648181	3651848	It roughly equates to the recommended action for next year.
3651868	3653812	I think it's about 9100 hours.
3653872	3656998	So roughly equates about 180 security officers.
3656978	3662706	Right now we currently have 87 on our staff in regards to post certified police officers.
3663046	3668453	We have a couple in training and one in the academy who should be probably about 90 by the end of next month.
3669955	3670796	Thank you, secretary.
3673760	3675202	This is for GMCO Johnson.
3676023	3678767	What are there any.
3680249	3684837	plans in place or is and please feel free to not answer this as we can't.
3685959	3692070	But I know there's been a drawdown over the last few years in our reliance on allied security.
3692110	3698882	Is there anything in this contract or in your planning around this contract or.
3698862	3713822	anything that can give us guidance on whether we expect that to continue after authorizing this, or are we expecting to stay at, you know, 90, 90 something hundred or 180 people over the next few years?
3714843	3715084	Yes.
3715524	3716806	Thank you very much for the question.
3716946	3720972	As chief indicated, this is a contract extension and there's hours that are specified.
3721072	3726439	Hence, in reference to the dollar amount that we have here, I would have to come back to the board.
3726824	3732632	as it relates to any type of authorization as we're doing now currently with this contract extension, if that were to be modified.
3732873	3750197	So on this point in time, it would stay the same unless there's some extenuating circumstances whereby we go out for a solicitation and we're not able to ensure that we're meeting the timeline before, since that's why we're here now with the contract extension quite naturally in doing so.
3750278	3754063	We have to ensure that we have the appropriate staffing levels.
3754398	3759584	So, I'm talking around and around in circles right now, but the answer would be no at this point in time.
3761165	3761546	Secretary.
3763668	3764729	Perfect.
3765170	3766091	Second Vice Chair Whitmore.
3767172	3773519	So, Chief, jog my memory on our goal for the end of the year for sworn officers.
3773599	3774800	It's not 90, right?
3774820	3776302	It's continuing to grow.
3776862	3777503	Chief Morrigano.
3777601	3779584	Yeah, so we are budgeted for 150.
3780024	3782667	We're still in the process of growing to those numbers.
3784310	3790858	So obviously with applications, background checks, everything else, we're heading positively to that.
3790918	3792880	We're putting in more in the academy here in June.
3792941	3795404	We'll continue to get lateral transfers.
3795904	3799829	I'm sorry, lateral applications from other agencies, officers of experience.
3799849	3802713	So we're hoping to hit that 150 goal by the end of year.
3802733	3803234	All right.
3803254	3803955	Thank you very much.
3803975	3806458	I did have the right memory up here.
3806538	3807439	Thank you, Mr. Chair.
3807487	3809028	Absolutely.
3809128	3812351	Any further, well, any further questions or discussions on this?
3813292	3813853	Yeah, Director Riesha.
3815694	3816035	Thank you, sir.
3816115	3837274	So I just wanted to note in the in the past upon request, the agency has provided a breakdown of how many just like our security personnel from, you know, our city to contracted and even break down in terms of with our contracted Allied Force like
3838402	3843989	the ones that are authorized to have firearms versus not, and our mental health staff and stuff.
3844009	3850296	So that's something that I think the agency, I'm sure the agency would be happy to provide like that breakdown chart.
3850376	3852239	I think it's been a little over a year since we've had one.
3852719	3861249	So I just wanted to offer that to those who are interested and just to piggyback on Secretary Nicholson's comments.
3862431	3862711	Thank you.
3863372	3864013	Thank you, Director.
3866335	3866435	Okay.
3866456	3867717	Any further comments or questions?
3869317	3870118	Okay, seeing none.
3870238	3872161	So I did have, thank you, Chief.
3872962	3876066	I did have Nicholson as the mover and Roush as the second.
3876566	3878569	Are there any no votes on this item?
3882814	3886739	Okay, seeing none, the item will pass 14-0-1 absent.
3887580	3891866	We are hitting our two hour mark, so we are gonna take a break for our cart employee.
3892947	3896151	Let's shoot to be back here at nine o'clock.
3896291	3897012	Would that be enough time?
3898409	3898749	Nope.
3898770	3899350	Okay.
3899370	3899571	Okay.
3899591	3900592	Let's do 905 then.
3901153	3901714	Thank you.
3901734	3902675	Thank you.
3902695	3927690	We'll back at 905.
3927940	3954935	We've got it.
3954955	3955215	We've got it.
3955235	3955435	All right.
3955455	3955736	There are two.
3955756	3955956	All right.
3957809	3968376	not.
3988994	3990536	Yeah.
3990836	3991277	Yeah.
3991377	4011103	Yeah.
4023976	4025038	Yeah.
4025058	4027322	Yeah.
4027943	4047317	Yeah.
4065252	4070622	You know what it is.
4111996	4113899	Okay.
4114380	4115702	But yeah.
4117064	4119828	Yeah.
4120449	4139860	I hear.
4144700	4172057	We had a tower backed up on Friday night.
4172408	4178217	And, uh, Senator, if you're in the hot quarter, so you know, it's not a big deal.
4178278	4183626	So, but if my daughter's school, no, they're out there, like an ankle thing.
4183767	4185169	I don't know.
4186591	4187272	I don't know.
4187412	4188294	I don't know.
4188314	4189776	I don't know.
4189796	4191940	I don't know.
4192180	4193783	I don't know.
4193963	4195065	I don't know.
4195125	4196187	I don't know.
4196367	4197589	I don't know.
4212250	4217678	Thank you.
4219941	4240452	Thank you.
4240870	4258963	You do it.
4317247	4326719	We're out of time.
4327079	4334428	We're out of time.
4334548	4345802	We're out of time
4356532	4357970	I'm sorry.
4391024	4418905	Okay.
4432013	4452233	Thank you very much.
4506635	4507924	Yeah, we're gonna get started.
4508186	4511430	Have you seen Jack?
4546814	4572809	All right, folks, we're at 906.
4573931	4575032	We're going to get started.
4579433	4580655	Director Bouquet, how do you vote?
4581015	4581536	I mean, yes.
4585262	4591852	We have a quorum of me and Director Packillary and Director Nicholson and Director Harwick.
4607075	4607415	All right.
4607581	4609083	Thank you everyone for your patience.
4609483	4612807	We are now moving on to our next recommended action for tonight.
4614069	4626664	And that is going to be the recommended action of the 2025-2028 Title VI program update to comply with federal laws, regulations, and guidelines related to Title VI of the Civil Rights Act of 1964.
4627165	4628687	Do we have a motion?
4629768	4630289	So moved.
4630849	4631911	I have Catlin as the mover.
4632932	4633633	Second, Guzman.
4633933	4635495	Guzman is the second.
4636960	4641367	I do understand that Director Banker has two amendments she would like to offer on this item.
4641747	4644271	Director Banker will take your amendments one at a time.
4645814	4647777	What is your first amendment, Director Banker?
4648338	4649159	Thank you very much.
4649860	4656370	And I'm glad everybody is now, you know, second wind and we're ready to go on to our
4657244	4659409	I don't know, six or seventh hour of meeting.
4660371	4663760	Actually, I will tell you I have three.
4663800	4665043	We'll see how things go.
4665083	4666165	They're short.
4667168	4669674	The first one, well, let me give you a little bit of background.
4669774	4670636	Okay.
4670656	4675708	So the background is I met with my four cities back in February and March.
4675688	4680192	And of course, you meet with them and you say hi and you say, okay, what are your needs?
4680272	4681093	What are your wants?
4682154	4691943	I met with all of them and they all gave me a list of basically trying to restore service that was removed during the pandemic.
4691963	4702533	And so, of course, as my job as director, I'm trying to work with our staff to try to get that service restored.
4703373	4703974	And so,
4705726	4729371	One of my questions or issues is I am guessing that when the RTD Board had to make the hard decisions of how to cut service almost in half because of this highly unusual pandemic, perhaps some of these cuts were not done equally across all 15 districts.
4729587	4734775	Director Banker, I'm sorry to interrupt, just so that we keep in order, could we get a second on?
4735155	4736838	Could you read the motion and then we get a second?
4736858	4750378	Yes, the motion is change the threshold for disproportionate burden and disparate impact from 10% to 20% as it relates to major service changes and consistent with the FTA circular 4702.1B.
4752020	4758430	And I believe the version that will be voted on is actually the version that
4759000	4760842	Mr. Kroll put up for us.
4761924	4764147	So that's, that's the language right there.
4764187	4771517	The first motion is to move the move to amend the 2025, 2028 title six program update, such that the threshold for triggering either.
4771977	4780088	Disappointed Burton or disparate in that fine late night, finding a rising from a major service change from 10% to 20%.
4781770	4782591	Do I have a second?
4783072	4783433	Second.
4783453	4785575	Pagliari is the second.
4786457	4786797	Thank you.
4787637	4794125	So just to continue a little bit more background and then we can start, I guess, the debate here.
4795066	4802115	I'm just trying to get service restored that was eliminated during the pandemic.
4802936	4817475	And there have been a couple of times now when I have requested and the answer that I have gotten several times is, well, it's going to depend on how the equity analysis calculations come out.
4817455	4832292	I'm just trying to find ways where we can perhaps start to restore some of the service that had been eliminated during the pandemic and perhaps do it a little bit quicker and
4833605	4837794	and also try to make it not quite so difficult.
4838215	4849538	So then what happened, of course, is everyone received about a week, 10 days ago, a letter from the city and county of Broomfield, and their transportation staff went through
4849518	4857468	our items quite closely and they sent us all a letter with recommended changes.
4858209	4868021	So I've gone through with their changes and that's where I've come up with the three amendments that I'd like to at least talk to the board, see what your thoughts are.
4868642	4871225	You know, hopefully it'll pass, but we'll see what happens.
4871666	4877533	But it's just basically what City and County of Broomfield had found when they did their research is that
4877513	4886844	the RTD is using some very conservative calculations compared to some of the other large transit agencies.
4887525	4892992	And so I did send you also a copy of the city and county of Broomfields letter just to refresh your memory.
4893993	4901162	And so I would like to put forth that the first amendment would be changing the threshold from 10% to 20%.
4901182	4902663	Thank you, Treasurer Baker.
4902804	4905647	So again, the discussion right now is on the motion
4906319	4908643	This first motion, the first amendment.
4908984	4909805	Director Catlin.
4913411	4914313	Thank you, Mr. Chair.
4914934	4917759	I'd like to ask GM CEO Johnson.
4918540	4931422	I heard from someone I don't remember now because it's getting late, but someone said that some of those assumptions made by City and County Broomfield were incorrect.
4931482	4931622	Ms.
4931662	4932023	Johnson.
4932307	4933428	Yes, thank you very much.
4934129	4952606	Relative to the comments that were made, and thank you very much, Director Catlin, as it relates to the transit agencies that were mentioned being part of the Metropolitan Atlanta Rapid Transit Authority, Los Angeles County Metropolitan Transit Authority, King County Metro, which is in Greater Seattle and then Chicago Transit Authority.
4954388	4959192	That information, especially coming from LA Metro as the former Chief Operations Officer there,
4959661	4963024	This is not correct relative to where we sit.
4963485	4970932	And more specifically, I do know our director of civil rights when we were going through this quite naturally in the role that he is in.
4970993	4976018	He and his team did a desk audit and worked with colleagues at different transit agencies.
4976038	4981363	So that's the communique that I did disseminate yesterday upon receiving this information.
4981603	4986208	So Mr. Green, if you want to just expound succinctly and briefly.
4986661	4992248	Yes, thank you so much, General Manager and CEO Johnson, to expand upon the response.
4992288	5001740	I just also want to ground us in first state that it is our collective responsibility to make federally compliant and equitable decisions, especially as it relates to service changes.
5002381	5009530	And in doing that audit, we looked at 22, rather 23 different organizations, which includes the four.
5009510	5013695	Marta, LA Metro, King County, and the Chicago Transit Authority.
5014235	5025428	And I would say the way to look at the disparate impact or disproportionate burden, the framing of it is how sensitive or less sensitive versus more sensitive, right?
5025629	5027571	And ours is stacked in the middle.
5027611	5029533	So I want to give you some numbers here.
5030294	5032817	So for the four that I just mentioned,
5033911	5042602	Marta has 10%, LA Metro has 5%, King County has 10%, CTA or Chicago Transit Authority has 15%.
5043623	5054637	And then when we rack and stack, look at those 22 different organizations, six out of that 23 have 5% or less, two have 8%,
5054971	5063929	six, which includes us, or seven, including us, is at 10%, three at 15%, and then three at 20%.
5064150	5070803	And in my over eight years of doing this work, and I'll just say that
5070783	5082882	When you are setting your policy, you don't want to do a disservice to the spirit and the letter of what we're ultimately trying to achieve, specifically with Title VI.
5083463	5089112	Title VI is not a stopping mechanism of bringing back or restoring service.
5089818	5097146	There are a lot of different variables, as I mentioned before, with respect to our service development guidelines, our operators resources, so on and so forth.
5097666	5109138	This is just a mechanism for the agency, such as RTD and the board of directors, so we don't get too far over our skis without discounting populations that are more likely to be transit reliant.
5109158	5117327	So again, it's not a stopping mechanism, but this is just more so to make sure that we are taking into consideration all of our customers.
5119349	5121713	I've director Ruchin next.
5126580	5131227	Um, I did have a question, but I also, um, treasure banker had her hand up and it was her motion.
5131327	5133611	So I'm happy to, to wait if that was in response.
5134392	5134973	Treasure banker.
5136335	5142264	Um, I, I feel that we are in an extremely unique situation because of the pandemic.
5143225	5146470	So how can we restore
5147750	5152399	let's say 40% of the service that had been cut several years ago.
5152840	5160654	How can we get back to 2019 when my district, other districts had that service?
5161536	5164662	And so now we're being told
5164642	5173772	that we can't get that service back because of this conservative calculation that we're doing, but we used to have it.
5174934	5182062	And so how do we get from where we are now to bringing service back to pre-pandemic levels?
5183403	5183564	Ms.
5183584	5183964	Johnson.
5184264	5185886	Yes, thank you very much, Director Banker.
5185926	5187508	That question is better suited for me.
5187548	5191813	Relative to the service delivery framework that we have,
5192097	5210798	While Title VI plays a role relative to major service changes as we talk about how we deploy service is based upon a myriad of different factors relative to our revenue service hours, but more specifically at how we use our comprehensive operational analysis specifically as we talk about the SOP.
5211439	5217666	When I came into this organization, it was decided that we were going to look at 85% of what service levels were.
5218321	5220785	85% of what service levels were in 2019.
5221546	5230721	We were in a different time relative to the commuting patterns, relative to how people were working going forward.
5231783	5236971	What I will share is that we are being very diligent and judicious
5237390	5241798	and how we're applying service because we do want to ensure there's equity.
5241838	5248370	I'm going to speak a little bit out of school here because I shared this with you yesterday, but I'll say it in this context as well.
5248811	5259330	As we talk about Longmont and we talk about service, we are looking at that for the fall service change.
5259665	5282415	That is up to the board quite naturally, but I did want to put that forward because with the restoration of service keeping in mind that all transit agencies across, you know, the US were in these precarious positions and the Federal Transit Administration more or less provided waivers, waivers from the sense of how we were decreasing service due to the fact that we didn't have enough people power.
5283138	5288485	Also, we currently are still working under a waiver as it relates to our spare ratio.
5288585	5298579	What I mean by that is when you deploy service in the mornings and the afternoons with the peak, you have a certain pullout rate and you're only supposed to have a 20% spare ratio.
5298920	5306250	We've deviated from that and have a waiver and we're right sizing the fleet as we move forward.
5306290	5312318	So while you're bringing up these points, as you indicated, we are in uncharted territory or were.
5312500	5313942	And we're coming back from that.
5314924	5327185	We are looking at where there are needs relative to the entire area from an origin and destination vantage point just by virtue of how our service area is going forward.
5327686	5331032	So I'm not providing this to say I don't.
5331012	5333254	understand what you're trying to do.
5333275	5338961	And as I share it with you, I do clearly and we want to work within the frameworks that we have.
5339602	5345428	But a whole cell of restoration of what was happening in 2019, that wouldn't be fiscally responsible.
5345508	5353577	And I say it from the vantage point of, we had a lot of service that was out on the street, maybe that yielded one passenger boarding per hour.
5354030	5355552	but that was out on the street.
5355852	5359316	Does that really yield the return on investment going forward?
5359416	5366965	Hence, that's why there were modifications relative to reallocation of services going forward.
5367386	5368847	Okay, but if I can.
5368988	5370930	Treasure, yeah.
5371010	5375015	Some of the issues that you just raised are important.
5375195	5375816	There's no doubt.
5376156	5380421	However, I don't believe it goes to the equity calculation.
5382884	5383024	I
5385080	5400760	What I think is important to to hear from staff and I know we're going to be talking about this in our retreat, which is I'm looking forward to that is if it's possible for us to go back to over 100 million riders in three years.
5401432	5420994	what barriers are we facing to try to do that so that we can go from 65 million to 100, 106, 110, and start quickly, or not quickly, but faster than what we're doing now to get back up to higher service levels.
